Team ID,Team Name,Schedule ID,Schedule Name,Escalation Policy ID,Escalation Policy Name,Service ID,Service Name,Webhook ID,Webhook Name
"P8BVP9I","ITS 311 Applications SalesForce CRMS","PBW5YDU","ITS 311 Applications SalesForce CRMS SCH","PQRZM2K","ITS 311 Applications SalesForce CRMS EP","PSRSCO5","ITS 311 Applications SalesForce CRMS SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PSK4QBY","ITS Adobe Apps","PIEEA57","ITS Adobe Apps SCH","PHGAJWB","ITS Adobe Apps EP","P85GAJS","ITS Adobe Apps SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PPNGPM8","ITS Animal Shelter Applications","PF5TZSH","ITS Animal Shelter Applications SCH","PEII1JQ","ITS Animal Shelter Applications EP","PZA1DCI","ITS Animal Shelter Applications SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"P527OXV","ITS ATT Managed Services","PMR2AHX","ITS ATT Managed Services SCH","P660KB7","ITS ATT Managed Services EP","POF4BYF","ITS AT&T Managed Services SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PKP5O5P","ITS Backup Team","PXJHY14","ITS Backup Team - Primary SCH","P5UVEZ5","ITS Backup Team EP","P0K7ZUC","ITS Backup Team SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"P8YEUKF","ITS CAD Applications","PEC71ET","ITS CAD Applications SCH","PPX8LJ9","ITS CAD Applications EP","PFTMADN","ITS CAD Applications SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PZU8919","ITS Canon Team","PQB8WZR","ITS Canon Team SCH","PRMSUZ4","ITS Canon Team EP","PNS4PUB","ITS Canon Team SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"PS8Z7ZW","ITS Civil Service Applications","PLCXUFV","ITS Civil Service Applications SCH","PU8D67Q","ITS Civil Service Applications EP","PLR95O3","ITS Civil Service Applications SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
"P80067G","ITS Council Or Legislative Applications","P2GOUVO","ITS Council or Legislative Applications SCH","PN044FA","ITS Council or Legislative Applications EP","PHEL4YD","ITS Council Or Legislative Applications SVC","",""
"","","PFQ8FHK","ITS Network Operations Center SCH","","","","","",""
